Title,Link,Date,Excerpt
Police destroy large quantity of narcotics by court order,https://citinewsroom.com/2024/08/police-destroy-large-quantity-of-narcotics-by-court-order/,"August 9, 2024",The Criminal Investigation Department (CID) of the Ghana Police Service has destroyed a significant quantity of narcotic substances following orders ...
"Appolonia Castle Gate residents call on IGP over forced eviction by alleged court bailiff, police",https://citinewsroom.com/2024/06/appolonia-castle-gate-residents-call-on-igp-over-forced-eviction-by-alleged-court-bailiff-police/,"June 29, 2024",Residents living in the Appolonia Castle Gate area within the Kpone Katamanso municipality say they are helpless and frustrated after ...
Heavy police presence as Lil Win appears before Asokore Mampong District Court,https://citinewsroom.com/2024/06/heavy-police-presence-as-lil-win-appears-before-asokore-mampong-district-court/,"June 3, 2024","Popular Kumawood actor Kwadwo Nkansah, known as Lil Win, has appeared before the Asokore Mampong District Court. Lil Win was ..."
Supreme Court rules against police officer in Busua property fraud case,https://citinewsroom.com/2024/03/supreme-court-rules-against-police-officer-in-busua-property-fraud-case/,"March 27, 2024",The Supreme Court of Ghana has rejected a final review application filed by Assistant Commissioner of Police (ACP) Akolgo Yakubu ...
Police seek court order to stop demo by 3 groups in December,https://citinewsroom.com/2023/11/police-seek-court-order-to-stop-demo-by-3-groups-in-december/,"November 17, 2023",The Ghana Police Service has filed an application at the High Court seeking an order to stop some three groups ...
Alleged police ‘killer’ case: Jurors abandon court over unpaid allowances,https://citinewsroom.com/2023/11/alleged-police-killer-case-jurors-abandon-court-over-unpaid-allowances/,"November 13, 2023",The seven-member jury adjudicating the case involving the alleged murder of 26-year-old Victoria Dapaah by her police inspector boyfriend in ...
Police seek court order to halt planned Jubilee House demo,https://citinewsroom.com/2023/09/police-seek-court-order-to-halt-planned-jubilee-house-demo/,"September 20, 2023",The Ghana Police Service has filed an application at the court to halt a planned demonstration by a group known ...
OccupyBOG protest: Court dismisses NDC’s objection to Police injunction application,https://citinewsroom.com/2023/09/occupybog-protest-court-dismisses-ndcs-objection-to-police-injunction-application/,"September 8, 2023","The High Court in Accra has rejected a preliminary objection by NDC’s head of legal affairs, Godwin Edudzi Tamekloe, that ..."
Police run to court over Minority’s refusal to change route for BoG protest,https://citinewsroom.com/2023/08/police-run-to-court-over-minoritys-refusal-to-change-route-for-bog-protest/,"August 31, 2023",The Ghana Police Service has filed an application at the court following the refusal of the Minority in Parliament to ...
Kumasi: Police Inspector accused of killing girlfriend to appear in court today,https://citinewsroom.com/2023/08/kumasi-police-inspector-accused-of-killing-girlfriend-to-appear-in-court-today/,"August 28, 2023","Embattled police officer, Inspector Ahmed Twumasi, is expected to make an appearance before the High Court in Kumasi today, August ..."
Police destroy large quantity of narcotics by court order,https://citinewsroom.com/2024/08/police-destroy-large-quantity-of-narcotics-by-court-order/,"August 9, 2024",The Criminal Investigation Department (CID) of the Ghana Police Service has destroyed a significant quantity of narcotic substances following orders ...
"Appolonia Castle Gate residents call on IGP over forced eviction by alleged court bailiff, police",https://citinewsroom.com/2024/06/appolonia-castle-gate-residents-call-on-igp-over-forced-eviction-by-alleged-court-bailiff-police/,"June 29, 2024",Residents living in the Appolonia Castle Gate area within the Kpone Katamanso municipality say they are helpless and frustrated after ...
Heavy police presence as Lil Win appears before Asokore Mampong District Court,https://citinewsroom.com/2024/06/heavy-police-presence-as-lil-win-appears-before-asokore-mampong-district-court/,"June 3, 2024","Popular Kumawood actor Kwadwo Nkansah, known as Lil Win, has appeared before the Asokore Mampong District Court. Lil Win was ..."
Supreme Court rules against police officer in Busua property fraud case,https://citinewsroom.com/2024/03/supreme-court-rules-against-police-officer-in-busua-property-fraud-case/,"March 27, 2024",The Supreme Court of Ghana has rejected a final review application filed by Assistant Commissioner of Police (ACP) Akolgo Yakubu ...
Police seek court order to stop demo by 3 groups in December,https://citinewsroom.com/2023/11/police-seek-court-order-to-stop-demo-by-3-groups-in-december/,"November 17, 2023",The Ghana Police Service has filed an application at the High Court seeking an order to stop some three groups ...
Alleged police ‘killer’ case: Jurors abandon court over unpaid allowances,https://citinewsroom.com/2023/11/alleged-police-killer-case-jurors-abandon-court-over-unpaid-allowances/,"November 13, 2023",The seven-member jury adjudicating the case involving the alleged murder of 26-year-old Victoria Dapaah by her police inspector boyfriend in ...
Police seek court order to halt planned Jubilee House demo,https://citinewsroom.com/2023/09/police-seek-court-order-to-halt-planned-jubilee-house-demo/,"September 20, 2023",The Ghana Police Service has filed an application at the court to halt a planned demonstration by a group known ...
OccupyBOG protest: Court dismisses NDC’s objection to Police injunction application,https://citinewsroom.com/2023/09/occupybog-protest-court-dismisses-ndcs-objection-to-police-injunction-application/,"September 8, 2023","The High Court in Accra has rejected a preliminary objection by NDC’s head of legal affairs, Godwin Edudzi Tamekloe, that ..."
Police run to court over Minority’s refusal to change route for BoG protest,https://citinewsroom.com/2023/08/police-run-to-court-over-minoritys-refusal-to-change-route-for-bog-protest/,"August 31, 2023",The Ghana Police Service has filed an application at the court following the refusal of the Minority in Parliament to ...
Kumasi: Police Inspector accused of killing girlfriend to appear in court today,https://citinewsroom.com/2023/08/kumasi-police-inspector-accused-of-killing-girlfriend-to-appear-in-court-today/,"August 28, 2023","Embattled police officer, Inspector Ahmed Twumasi, is expected to make an appearance before the High Court in Kumasi today, August ..."
